UTC,WALL:,,moment VS,NZCHAT,,,UTC,WALL:,moment VS,cairo,
2015-04-04 14:00:00Z,2015-04-05T02:45:00+12:45,,2015-04-04T23:00:00+09:00,2015-04-05T02:45:00+12:45,TRUE,,2023-04-27T22:00:00Z,2023-04-28T01:00:00+03:00,2023-04-28T07:00:00+09:00,2023-04-28T01:00:00+03:00,TRUE
2015-09-26 14:00:00Z,2015-09-27T03:45:00+13:45,,2015-09-26T23:00:00+09:00,2015-09-27T03:45:00+13:45,TRUE,,2023-10-26T21:00:00Z,2023-10-26T23:00:00+02:00,2023-10-27T06:00:00+09:00,2023-10-26T23:00:00+02:00,TRUE
2016-04-02 14:00:00Z,2016-04-03T02:45:00+12:45,,2016-04-02T23:00:00+09:00,2016-04-03T02:45:00+12:45,TRUE,,2024-04-25T22:00:00Z,2024-04-26T01:00:00+03:00,2024-04-26T07:00:00+09:00,2024-04-26T01:00:00+03:00,TRUE
2016-09-24 14:00:00Z,2016-09-25T03:45:00+13:45,,2016-09-24T23:00:00+09:00,2016-09-25T03:45:00+13:45,TRUE,,2024-10-31T21:00:00Z,2024-10-31T23:00:00+02:00,2024-11-01T06:00:00+09:00,2024-10-31T23:00:00+02:00,TRUE
2017-04-01 14:00:00Z,2017-04-02T02:45:00+12:45,,2017-04-01T23:00:00+09:00,2017-04-02T02:45:00+12:45,TRUE,,2025-04-24T22:00:00Z,2025-04-25T01:00:00+03:00,2025-04-25T07:00:00+09:00,2025-04-25T01:00:00+03:00,TRUE
2017-09-23 14:00:00Z,2017-09-24T03:45:00+13:45,,2017-09-23T23:00:00+09:00,2017-09-24T03:45:00+13:45,TRUE,,2025-10-30T21:00:00Z,2025-10-30T23:00:00+02:00,2025-10-31T06:00:00+09:00,2025-10-30T23:00:00+02:00,TRUE
2018-03-31 14:00:00Z,2018-04-01T02:45:00+12:45,,2018-03-31T23:00:00+09:00,2018-04-01T02:45:00+12:45,TRUE,,2026-04-23T22:00:00Z,2026-04-24T01:00:00+03:00,2026-04-24T07:00:00+09:00,2026-04-24T01:00:00+03:00,TRUE
2018-09-29 14:00:00Z,2018-09-30T03:45:00+13:45,,2018-09-29T23:00:00+09:00,2018-09-30T03:45:00+13:45,TRUE,,2026-10-29T21:00:00Z,2026-10-29T23:00:00+02:00,2026-10-30T06:00:00+09:00,2026-10-29T23:00:00+02:00,TRUE
2019-04-06 14:00:00Z,2019-04-07T02:45:00+12:45,,2019-04-06T23:00:00+09:00,2019-04-07T02:45:00+12:45,TRUE,,2027-04-29T22:00:00Z,2027-04-30T01:00:00+03:00,2027-04-30T07:00:00+09:00,2027-04-30T01:00:00+03:00,TRUE
2019-09-28 14:00:00Z,2019-09-29T03:45:00+13:45,,2019-09-28T23:00:00+09:00,2019-09-29T03:45:00+13:45,TRUE,,2027-10-28T21:00:00Z,2027-10-28T23:00:00+02:00,2027-10-29T06:00:00+09:00,2027-10-28T23:00:00+02:00,TRUE
2020-04-04 14:00:00Z,2020-04-05T02:45:00+12:45,,2020-04-04T23:00:00+09:00,2020-04-05T02:45:00+12:45,TRUE,,2028-04-27T22:00:00Z,2028-04-28T01:00:00+03:00,2028-04-28T07:00:00+09:00,2028-04-28T01:00:00+03:00,TRUE
2020-09-26 14:00:00Z,2020-09-27T03:45:00+13:45,,2020-09-26T23:00:00+09:00,2020-09-27T03:45:00+13:45,TRUE,,2028-10-26T21:00:00Z,2028-10-26T23:00:00+02:00,2028-10-27T06:00:00+09:00,2028-10-26T23:00:00+02:00,TRUE
2021-04-03 14:00:00Z,2021-04-04T02:45:00+12:45,,2021-04-03T23:00:00+09:00,2021-04-04T02:45:00+12:45,TRUE,,2029-04-26T22:00:00Z,2029-04-27T01:00:00+03:00,2029-04-27T07:00:00+09:00,2029-04-27T01:00:00+03:00,TRUE
2021-09-25 14:00:00Z,2021-09-26T03:45:00+13:45,,2021-09-25T23:00:00+09:00,2021-09-26T03:45:00+13:45,TRUE,,2029-10-25T21:00:00Z,2029-10-25T23:00:00+02:00,2029-10-26T06:00:00+09:00,2029-10-25T23:00:00+02:00,TRUE
2022-04-02 14:00:00Z,2022-04-03T02:45:00+12:45,,2022-04-02T23:00:00+09:00,2022-04-03T02:45:00+12:45,TRUE,,2030-04-25T22:00:00Z,2030-04-26T01:00:00+03:00,2030-04-26T07:00:00+09:00,2030-04-26T01:00:00+03:00,TRUE
2022-09-24 14:00:00Z,2022-09-25T03:45:00+13:45,,2022-09-24T23:00:00+09:00,2022-09-25T03:45:00+13:45,TRUE,,2030-10-31T21:00:00Z,2030-10-31T23:00:00+02:00,2030-11-01T06:00:00+09:00,2030-10-31T23:00:00+02:00,TRUE
2023-04-01 14:00:00Z,2023-04-02T02:45:00+12:45,,2023-04-01T23:00:00+09:00,2023-04-02T02:45:00+12:45,TRUE,,2031-04-24T22:00:00Z,2031-04-25T01:00:00+03:00,2031-04-25T07:00:00+09:00,2031-04-25T01:00:00+03:00,TRUE
2023-09-23 14:00:00Z,2023-09-24T03:45:00+13:45,,2023-09-23T23:00:00+09:00,2023-09-24T03:45:00+13:45,TRUE,,2031-10-30T21:00:00Z,2031-10-30T23:00:00+02:00,2031-10-31T06:00:00+09:00,2031-10-30T23:00:00+02:00,TRUE
2024-04-06 14:00:00Z,2024-04-07T02:45:00+12:45,,2024-04-06T23:00:00+09:00,2024-04-07T02:45:00+12:45,TRUE,,2032-04-29T22:00:00Z,2032-04-30T01:00:00+03:00,2032-04-30T07:00:00+09:00,2032-04-30T01:00:00+03:00,TRUE
2024-09-28 14:00:00Z,2024-09-29T03:45:00+13:45,,2024-09-28T23:00:00+09:00,2024-09-29T03:45:00+13:45,TRUE,,2032-10-28T21:00:00Z,2032-10-28T23:00:00+02:00,2032-10-29T06:00:00+09:00,2032-10-28T23:00:00+02:00,TRUE
2025-04-05 14:00:00Z,2025-04-06T02:45:00+12:45,,2025-04-05T23:00:00+09:00,2025-04-06T02:45:00+12:45,TRUE,,2033-04-28T22:00:00Z,2033-04-29T01:00:00+03:00,2033-04-29T07:00:00+09:00,2033-04-29T01:00:00+03:00,TRUE
2025-09-27 14:00:00Z,2025-09-28T03:45:00+13:45,,2025-09-27T23:00:00+09:00,2025-09-28T03:45:00+13:45,TRUE,,2033-10-27T21:00:00Z,2033-10-27T23:00:00+02:00,2033-10-28T06:00:00+09:00,2033-10-27T23:00:00+02:00,TRUE
2026-04-04 14:00:00Z,2026-04-05T02:45:00+12:45,,2026-04-04T23:00:00+09:00,2026-04-05T02:45:00+12:45,TRUE,,2034-04-27T22:00:00Z,2034-04-28T01:00:00+03:00,2034-04-28T07:00:00+09:00,2034-04-28T01:00:00+03:00,TRUE
