a, b,c,src mommenttz,,,,,,a,b,b,
Africa/Casablanca,2025-02-23T02:00:00Z,2025-02-23T02:00:00Z,+01 1,,,,,,America/Adak,2025-11-02T11:00:00Z,2025-11-02T01:00:00-10:00,HDT -9
Africa/El_Aaiun,2025-02-23T02:00:00Z,2025-02-23T02:00:00Z,+01 1,,,,,,America/Atka,2025-11-02T11:00:00Z,2025-11-02T01:00:00-10:00,HDT -9
America/Havana,2025-03-09T05:00:00Z,2025-03-09T01:00:00-04:00,CST -5,,,,,,US/Aleutian,2025-11-02T11:00:00Z,2025-11-02T01:00:00-10:00,HDT -9
America/Miquelon,2025-03-09T05:00:00Z,2025-03-09T03:00:00-02:00,-03 -3,,,,,,America/Anchorage,2025-11-02T10:00:00Z,2025-11-02T01:00:00-09:00,AKDT -8
Cuba,2025-03-09T05:00:00Z,2025-03-09T01:00:00-04:00,CST -5,,,,,,America/Juneau,2025-11-02T10:00:00Z,2025-11-02T01:00:00-09:00,AKDT -8
America/St_Johns,2025-03-09T05:30:00Z,2025-03-09T03:00:00-02:30,NST -3.5,,,,,,America/Metlakatla,2025-11-02T10:00:00Z,2025-11-02T01:00:00-09:00,AKDT -8
Canada/Newfoundland,2025-03-09T05:30:00Z,2025-03-09T03:00:00-02:30,NST -3.5,,,,,,America/Nome,2025-11-02T10:00:00Z,2025-11-02T01:00:00-09:00,AKDT -8
America/Glace_Bay,2025-03-09T06:00:00Z,2025-03-09T03:00:00-03:00,AST -4,,,,,,America/Sitka,2025-11-02T10:00:00Z,2025-11-02T01:00:00-09:00,AKDT -8
America/Goose_Bay,2025-03-09T06:00:00Z,2025-03-09T03:00:00-03:00,AST -4,,,,,,America/Yakutat,2025-11-02T10:00:00Z,2025-11-02T01:00:00-09:00,AKDT -8
America/Halifax,2025-03-09T06:00:00Z,2025-03-09T03:00:00-03:00,AST -4,,,,,,US/Alaska,2025-11-02T10:00:00Z,2025-11-02T01:00:00-09:00,AKDT -8
