zone:,fake posix,start,end,TimeDefinition,UT,wall,offset:,match,alias,match,alias,bool,
Africa/Ceuta,STD-1DST-2,M3.5.0/2,M10.5.0/3,0,2025-03-30T01:00:00Z,2025/03/30 3:00:00 +02:00,2,2025-10-26T01:00:00Z,FALSE,2025-03-30T01:00:00Z,TRUE,TRUE,"!=VLOOKUP($A2, Sheet2.$J$2:$M$421, 2 ,0) =IF($F2=2,TRUE(),FALSE()) x2   =OR(J2,L2)"
Africa/Ceuta,STD-1DST-2,M3.5.0/2,M10.5.0/3,0,2025-10-26T01:00:00Z,2025/10/26 2:00:00 +01:00,1,2025-10-26T01:00:00Z,TRUE,2025-03-30T01:00:00Z,FALSE,TRUE,
America/Godthab,STD2DST1,M3.5.0/1,M10.5.0/0,0,2025-03-30T01:00:00Z,2025/03/30 0:00:00 -01:00,-1,2025-10-26T01:00:00Z,FALSE,2025-03-30T01:00:00Z,TRUE,TRUE,
America/Godthab,STD2DST1,M3.5.0/1,M10.5.0/0,0,2025-10-26T01:00:00Z,2025/10/25 23:00:00 -02:00,-2,2025-10-26T01:00:00Z,TRUE,2025-03-30T01:00:00Z,FALSE,TRUE,
America/Nuuk,STD2DST1,M3.5.0/1,M10.5.0/0,0,2025-03-30T01:00:00Z,2025/03/30 0:00:00 -01:00,-1,2025-10-26T01:00:00Z,FALSE,2025-03-30T01:00:00Z,TRUE,TRUE,
America/Nuuk,STD2DST1,M3.5.0/1,M10.5.0/0,0,2025-10-26T01:00:00Z,2025/10/25 23:00:00 -02:00,-2,2025-10-26T01:00:00Z,TRUE,2025-03-30T01:00:00Z,FALSE,TRUE,
America/Santiago,STD4DST3,M9.1.0/0,M4.1.0/0,0,2025-04-06T03:00:00Z,2025/04/05 23:00:00 -04:00,-4,2025-09-07T04:00:00Z,FALSE,2025-04-06T03:00:00Z,TRUE,TRUE,
America/Santiago,STD4DST3,M9.1.0/0,M4.1.0/0,0,2025-09-07T04:00:00Z,2025/09/07 1:00:00 -03:00,-3,2025-09-07T04:00:00Z,TRUE,2025-04-06T03:00:00Z,FALSE,TRUE,
Antarctica/Troll,STD-0DST-2,M3.5.0/1,M10.5.0/3,0,2025-03-30T01:00:00Z,2025/03/30 3:00:00 +02:00,2,2025-10-26T01:00:00Z,FALSE,2025-03-30T01:00:00Z,TRUE,TRUE,
Antarctica/Troll,STD-0DST-2,M3.5.0/1,M10.5.0/3,0,2025-10-26T01:00:00Z,2025/10/26 1:00:00 +00:00,0,2025-10-26T01:00:00Z,TRUE,2025-03-30T01:00:00Z,FALSE,TRUE,
Arctic/Longyearbyen,STD-1DST-2,M3.5.0/2,M10.5.0/3,0,2025-03-30T01:00:00Z,2025/03/30 3:00:00 +02:00,2,2025-10-26T01:00:00Z,FALSE,2025-03-30T01:00:00Z,TRUE,TRUE,
Arctic/Longyearbyen,STD-1DST-2,M3.5.0/2,M10.5.0/3,0,2025-10-26T01:00:00Z,2025/10/26 2:00:00 +01:00,1,2025-10-26T01:00:00Z,TRUE,2025-03-30T01:00:00Z,FALSE,TRUE,
Asia/Famagusta,STD-2DST-3,M3.5.0/3,M10.5.0/4,0,2025-03-30T01:00:00Z,2025/03/30 4:00:00 +03:00,3,2025-10-26T01:00:00Z,FALSE,2025-03-30T01:00:00Z,TRUE,TRUE,
Asia/Famagusta,STD-2DST-3,M3.5.0/3,M10.5.0/4,0,2025-10-26T01:00:00Z,2025/10/26 3:00:00 +02:00,2,2025-10-26T01:00:00Z,TRUE,2025-03-30T01:00:00Z,FALSE,TRUE,
Asia/Nicosia,STD-2DST-3,M3.5.0/3,M10.5.0/4,0,2025-03-30T01:00:00Z,2025/03/30 4:00:00 +03:00,3,2025-10-26T01:00:00Z,FALSE,2025-03-30T01:00:00Z,TRUE,TRUE,
Asia/Nicosia,STD-2DST-3,M3.5.0/3,M10.5.0/4,0,2025-10-26T01:00:00Z,2025/10/26 3:00:00 +02:00,2,2025-10-26T01:00:00Z,TRUE,2025-03-30T01:00:00Z,FALSE,TRUE,
Atlantic/Azores,STD1DST-0,M3.5.0/0,M10.5.0/1,0,2025-03-30T01:00:00Z,2025/03/30 1:00:00 +00:00,0,2025-10-26T01:00:00Z,FALSE,2025-03-30T01:00:00Z,TRUE,TRUE,
Atlantic/Azores,STD1DST-0,M3.5.0/0,M10.5.0/1,0,2025-10-26T01:00:00Z,2025/10/26 0:00:00 -01:00,-1,2025-10-26T01:00:00Z,TRUE,2025-03-30T01:00:00Z,FALSE,TRUE,
Atlantic/Canary,STD-0DST-1,M3.5.0/1,M10.5.0/2,0,2025-03-30T01:00:00Z,2025/03/30 2:00:00 +01:00,1,2025-10-26T01:00:00Z,FALSE,2025-03-30T01:00:00Z,TRUE,TRUE,
Atlantic/Canary,STD-0DST-1,M3.5.0/1,M10.5.0/2,0,2025-10-26T01:00:00Z,2025/10/26 1:00:00 +00:00,0,2025-10-26T01:00:00Z,TRUE,2025-03-30T01:00:00Z,FALSE,TRUE,
